date,amfi_code,scheme_name,rolling_sharpe
2022-01-04,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-05,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-06,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-07,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-08,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-09,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-10,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-11,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-12,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-13,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-14,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-15,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-16,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-17,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-18,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-19,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-20,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-21,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-22,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-23,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-24,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-25,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-26,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-27,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-28,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-29,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-30,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-01-31,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-02-01,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,
2022-02-02,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.4729973189750276
2022-02-03,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-2.190333335070401
2022-02-04,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-2.5559639224388997
2022-02-05,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-2.515951224020395
2022-02-06,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-2.4777607000970323
2022-02-07,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.6299415750390884
2022-02-08,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.6254919350215499
2022-02-09,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.6027555832418793
2022-02-10,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.2531847985568885
2022-02-11,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.5069679342285551
2022-02-12,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.500584343395442
2022-02-13,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.4944359757852361
2022-02-14,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.3698814457167174
2022-02-15,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.7151145006938215
2022-02-16,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.8056442446664027
2022-02-17,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.6948536007827655
2022-02-18,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.694499633160956
2022-02-19,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.676172957207267
2022-02-20,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.6584283326272253
2022-02-21,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.734521701583096
2022-02-22,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.925482542555862
2022-02-23,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.7331989455425232
2022-02-24,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-2.1895178029572238
2022-02-25,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.8024252818812299
2022-02-26,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.785445057212997
2022-02-27,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.768935864528609
2022-02-28,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.945118756594354
2022-03-01,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.050793209138854
2022-03-02,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.1288526068852516
2022-03-03,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.259908194007604
2022-03-04,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.4147526610762962
2022-03-05,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.4030170706609384
2022-03-06,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.3915687629479045
2022-03-07,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.5125205943833406
2022-03-08,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.274598883628445
2022-03-09,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.259267130235092
2022-03-10,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.9017919815370031
2022-03-11,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.7294257933818727
2022-03-12,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.7240312633514813
